open,high,low,close,volume,datetime
27.7,28.01,27.66,28,27870,1584961200000
27.99,27.99,27.99,27.99,300,1584961260000
27.95,28,27.95,28,2973,1584961320000
28,28,27.98,27.98,3256,1584961380000
27.95,27.97,27.95,27.97,300,1584961440000
27.94,27.94,27.94,27.94,168,1584961500000
27.86,27.86,27.86,27.86,300,1584961560000
27.86,27.86,27.85,27.85,1700,1584961620000
27.84,27.84,27.8,27.8,250,1584961680000
27.8,27.8,27.8,27.8,200,1584961740000
27.79,27.8,27.79,27.8,1415,1584961800000
27.8,27.8,27.8,27.8,1982,1584961980000
27.8,27.8,27.8,27.8,998,1584962040000
27.79,27.84,27.79,27.8,549,1584962220000
27.77,27.77,27.76,27.76,950,1584962280000
27.75,27.75,27.75,27.75,990,1584962340000
27.75,27.75,27.75,27.75,1953,1584962400000
27.7,27.75,27.7,27.7,400,1584962460000
27.74,27.74,27.74,27.74,500,1584962520000
27.8,27.8,27.8,27.8,356,1584963000000
27.81,27.81,27.81,27.81,309,1584963060000
27.78,27.78,27.75,27.75,200,1584963120000
27.7,27.7,27.6,27.7,810,1584963180000
27.69,27.69,27.69,27.69,100,1584963240000
27.69,27.69,27.69,27.69,250,1584963300000
27.65,27.65,27.65,27.65,700,1584963360000
27.61,27.69,27.61,27.69,1094,1584963420000
27.62,27.62,27.62,27.62,531,1584963480000
27.61,27.61,27.6,27.6,561,1584963540000
27.6,27.6,27.6,27.6,300,1584963660000
27.6,27.65,27.6,27.65,6698,1584963720000
27.6,27.6,27.6,27.6,100,1584963780000
27.57,27.57,27.51,27.51,3954,1584963840000
27.51,27.52,27.5,27.52,3259,1584963900000
27.46,27.46,27.4,27.41,3310,1584963960000
27.38,27.38,27.35,27.35,2336,1584964080000
27.37,27.37,27.25,27.25,5680,1584964140000
27.21,27.21,27.15,27.15,2464,1584964200000
27.15,27.15,27.03,27.07,9134,1584964260000
27.07,27.1,27.01,27.08,11995,1584964320000
27.09,27.1,27.08,27.08,132275,1584964380000
27.19,27.21,27.09,27.21,30674,1584964560000
27.25,27.25,27.25,27.25,1000,1584964620000
27.21,27.21,27.21,27.21,100,1584964680000
27.25,27.25,27.25,27.25,750,1584964740000
27.21,27.3,27.21,27.3,4791,1584964800000
27.3,27.7,27.3,27.7,3922,1584964860000
27.7,27.75,27.7,27.7,1150,1584964920000
27.55,27.6,27.5,27.6,3983,1584964980000
27.6,27.68,27.6,27.68,3450,1584965040000
27.68,27.75,27.68,27.75,1070,1584965100000
27.68,27.75,27.6,27.6,6994,1584965160000
27.63,27.63,27.41,27.41,8349,1584965220000
27.4,27.4,27.39,27.39,200,1584965280000
27.3,27.49,27.3,27.49,5100,1584965340000
27.49,27.65,27.49,27.6,4712,1584965400000
27.68,28,27.68,28,14245,1584965460000
28,28.2,28,28,28699,1584965520000
27.99,28.18,27.85,27.85,10400,1584965580000
27.85,27.98,27.85,27.85,1392,1584965640000
27.85,27.85,27.8,27.85,3274,1584965700000
27.7,27.85,27.7,27.85,1190,1584965760000
27.85,27.97,27.85,27.97,4111,1584965820000
28,28.25,28,28.17,5004,1584965880000
28.01,28.15,28.01,28.08,3044,1584965940000
28.01,28.15,28,28,4251,1584966000000
28.03,28.15,28.03,28.15,6620,1584966060000
28.14,28.25,28.14,28.25,4343,1584966120000
28.26,28.3,28.25,28.26,5109,1584966180000
28.3,28.32,28.26,28.32,6699,1584966240000
28.29,28.29,28.15,28.15,4989,1584966300000
28.15,28.25,28.1,28.16,5167,1584966360000
28.2,28.2,28.1,28.1,11299,1584966420000
28.01,28.01,28,28,6222,1584966480000
28,28,27.91,28,940,1584966540000
28,28.01,27.91,27.91,12350,1584966600000
27.86,27.86,27.7,27.8,20307,1584966660000
27.82,27.83,27.5,27.51,11773,1584966720000
27.5,27.6,27.5,27.6,3006,1584966780000
27.65,27.69,27.65,27.69,1103,1584966840000
27.68,27.8,27.68,27.8,2036,1584966900000
27.8,27.8,27.76,27.78,3947,1584966960000
27.76,27.79,27.59,27.76,51743,1584967020000
27.6,27.62,27.55,27.62,1226,1584967080000
27.63,27.68,27.62,27.65,13097,1584967140000
27.66,27.7,27.66,27.7,3800,1584967200000
27.72,27.88,27.7,27.88,5486,1584967260000
27.86,27.86,27.6,27.66,4102,1584967320000
27.78,27.78,27.7,27.7,700,1584967380000
27.66,27.72,27.66,27.71,3687,1584967440000
27.67,27.74,27.66,27.66,2232,1584967500000
27.66,27.79,27.66,27.7,3141,1584967560000
27.7,27.7,27.6,27.6,24966,1584967620000
27.69,27.69,27.55,27.6,6380,1584967680000
27.61,27.61,27.5,27.5,32100,1584967740000
27.5,27.51,27.45,27.51,6875,1584967800000
27.57,27.6,27.5,27.56,13108,1584967860000
27.58,27.58,27.5,27.57,9761,1584967920000
27.54,27.58,27.54,27.58,7980,1584967980000
27.58,27.58,27.55,27.55,3724,1584968040000
27.59,27.6,27.56,27.6,2515,1584968100000
27.6,27.6,27.55,27.55,1325,1584968160000
27.55,27.69,27.53,27.66,7808,1584968220000
27.66,27.75,27.66,27.69,1668,1584968280000
27.69,27.69,27.65,27.65,6763,1584968340000
27.66,27.66,27.53,27.53,5950,1584968400000
27.55,27.64,27.51,27.54,4186,1584968460000
27.6399,27.7,27.55,27.7,7350,1584968520000
27.75,27.75,27.53,27.6,26433,1584968580000
27.65,27.8,27.65,27.79,12596,1584968640000
27.79,27.86,27.75,27.8,8568,1584968700000
27.78,27.79,27.7,27.7,3895,1584968760000
27.7,27.8,27.64,27.8,2245,1584968820000
