,Date,Open,High,Low,Close,Adj Close,Volume,Date_str,Daily_return,Cum_return
0,2019-03-04,26122.18945,26155.98047,25611.55078,25819.65039,25819.65039,295510000,03/04/2019,0.0,0.0
1,2019-03-05,25829.07031,25877.15039,25725.63086,25806.63086,25806.63086,252260000,03/05/2019,0.0,0.0
2,2019-03-06,25818.75977,25837.60938,25633.71094,25673.46094,25673.46094,256250000,03/06/2019,0.0,0.0
3,2019-03-07,25645.44922,25645.44922,25352.55078,25473.23047,25473.23047,289140000,03/07/2019,0.0,0.0
4,2019-03-08,25347.38086,25466.14063,25252.46094,25450.24023,25450.24023,270500000,03/08/2019,0.0,0.0
5,2019-03-11,25208.0,25661.63086,25208.0,25650.88086,25650.88086,309790000,03/11/2019,0.0,0.0
6,2019-03-12,25600.30078,25675.43945,25522.16992,25554.66016,25554.66016,317730000,03/12/2019,0.0,0.0
7,2019-03-13,25637.23047,25776.49023,25571.31055,25702.89063,25702.89063,331410000,03/13/2019,0.0,0.0
8,2019-03-14,25692.31055,25752.83984,25621.31055,25709.93945,25709.93945,302790000,03/14/2019,0.0,0.0
9,2019-03-15,25720.96094,25927.91016,25649.69922,25848.86914,25848.86914,616910000,03/15/2019,0.0,0.0
10,2019-03-18,25801.88086,25924.76953,25785.66016,25914.09961,25914.09961,399530000,03/18/2019,0.0,0.0
11,2019-03-19,25987.86914,26109.67969,25814.91992,25887.38086,25887.38086,342250000,03/19/2019,0.0,0.0
12,2019-03-20,25867.78906,25929.51953,25670.63086,25745.66992,25745.66992,321980000,03/20/2019,0.0,0.0
13,2019-03-21,25688.43945,26009.90039,25657.7793,25962.50977,25962.50977,335250000,03/21/2019,0.0,0.0
14,2019-03-22,25844.65039,25877.00977,25501.44922,25502.32031,25502.32031,386510000,03/22/2019,0.0,0.0
15,2019-03-25,25490.7207,25603.26953,25372.25977,25516.83008,25516.83008,303120000,03/25/2019,0.0,0.0
16,2019-03-26,25649.56055,25796.28906,25544.7793,25657.73047,25657.73047,305110000,03/26/2019,0.0,0.0
17,2019-03-27,25676.33984,25758.16992,25425.26953,25625.58984,25625.58984,270340000,03/27/2019,0.0,0.0
18,2019-03-28,25693.32031,25743.41016,25576.68945,25717.46094,25717.46094,237170000,03/28/2019,0.0,0.0
19,2019-03-29,25827.31055,25949.32031,25771.66992,25928.67969,25928.67969,300620000,03/29/2019,0.0,0.0
20,2019-04-01,26075.09961,26280.90039,26071.68945,26258.41992,26258.41992,295570000,04/01/2019,0.0,0.0
21,2019-04-02,26213.55078,26221.24023,26122.31055,26179.13086,26179.13086,250940000,04/02/2019,0.0,0.0
22,2019-04-03,26238.0293,26282.16992,26138.4707,26218.13086,26218.13086,271980000,04/03/2019,0.0,0.0
23,2019-04-04,26213.41992,26398.90039,26212.7793,26384.63086,26384.63086,233040000,04/04/2019,0.0,0.0
24,2019-04-05,26427.56055,26487.57031,26370.82031,26424.99023,26424.99023,229550000,04/05/2019,0.0,0.0
25,2019-04-08,26312.66992,26344.65039,26246.0293,26341.01953,26341.01953,229380000,04/08/2019,0.0,0.0
26,2019-04-09,26243.53906,26246.33984,26103.14063,26150.58008,26150.58008,244410000,04/09/2019,0.0,0.0
27,2019-04-10,26173.71094,26209.49023,26101.24023,26157.16016,26157.16016,203130000,04/10/2019,0.0,0.0
28,2019-04-11,26188.21094,26229.88086,26062.58984,26143.05078,26143.05078,211680000,04/11/2019,0.0,0.0
29,2019-04-12,26357.78906,26436.67969,26309.7207,26412.30078,26412.30078,369910000,04/12/2019,0.0,0.0
30,2019-04-15,26407.75977,26424.84961,26316.41992,26384.76953,26384.76953,250620000,04/15/2019,0.0,0.0
31,2019-04-16,26482.18945,26530.71094,26397.18945,26452.66016,26452.66016,302340000,04/16/2019,0.0025730992238838803,0.0025730992238838803
32,2019-04-17,26468.5293,26501.01953,26391.85938,26449.53906,26449.53906,367780000,04/17/2019,-0.00011798813356094229,0.002455111090322938
33,2019-04-18,26463.36914,26602.41992,26444.5293,26559.53906,26559.53906,332850000,04/18/2019,0.004158862645979132,0.00661397373630207
34,2019-04-22,26510.76953,26553.05078,26458.60938,26511.05078,26511.05078,232570000,04/22/2019,-0.0018256446352649073,0.004788329101037163
35,2019-04-23,26513.83008,26695.96094,26503.56055,26656.39063,26656.39063,311690000,04/23/2019,0.005482236490967194,0.010270565592004358
36,2019-04-24,26652.56055,26680.58008,26582.85938,26597.05078,26597.05078,283370000,04/24/2019,-0.002226102206546194,0.008044463385458164
37,2019-04-25,26426.36914,26536.48047,26310.2793,26462.08008,26462.08008,296730000,04/25/2019,-0.005074649107392562,0.0029698142780656012
38,2019-04-26,26454.61914,26543.56055,26392.55078,26543.33008,26543.33008,317290000,04/26/2019,0.0030704313400294115,0.006040245618095012
39,2019-04-29,26559.86914,26602.53906,26520.75,26554.39063,26554.39063,279450000,04/29/2019,0.00041669790364156023,0.006456943521736573
40,2019-04-30,26594.56055,26614.03906,26419.4707,26592.91016,26592.91016,340320000,04/30/2019,0.0014505898680454018,0.007907533389781975
41,2019-05-01,26639.06055,26689.39063,26426.38086,26430.14063,26430.14063,303850000,05/01/2019,-0.006120786669103603,0.0017867467206783725
42,2019-05-02,26407.15039,26454.68945,26180.35938,26307.78906,26307.78906,287610000,05/02/2019,-0.004629244002626502,-0.002842497281948129
43,2019-05-03,26379.14063,26534.96094,26370.08984,26504.94922,26504.94922,248900000,05/03/2019,0.007494364484614712,0.004651867202666583
44,2019-05-06,26160.61914,26476.26953,26033.94922,26438.48047,26438.48047,283020000,05/06/2019,-0.0025077863552307534,0.0021440808474358294
45,2019-05-07,26276.90039,26276.90039,25789.71094,25965.08984,25965.08984,334960000,05/07/2019,-0.017905364513560416,-0.015761283666124587
46,2019-05-08,25933.78906,26118.09961,25889.41016,25967.33008,25967.33008,276420000,05/08/2019,8.627892350089307e-05,-0.015675004742623695
